Subject,Catalog Nbr,Section,Class Nbr,Course Title,Component,Units,Bldg,Room,Days,Time,Instructor,Attributes
AMST,102,602,14500,MYTH AND HISTORY IN AM. MEMORY,Recitation,3,Dey Hall,304,F,10:10 - 11:00,"Hutchinson,Brittany Monique","HS, NA, US, "
AMST,102,603,14501,MYTH AND HISTORY IN AM. MEMORY,Recitation,3,Dey Hall,403,F,10:10 - 11:00,"O'Connell,Joseph","HS, NA, US, "
AMST,102,604,14502,MYTH AND HISTORY IN AM. MEMORY,Recitation,3,Murray Hall,G205,F,11:15 - 12:05,"O'Connell,Joseph",
AMST,203,1,14029,APPR AMER INDIAN STUDIES,Lecture,3,Dey Hall,203,TuTh,11:00 - 12:15,"Carmi,Marissa Lauren","HS, NA, US, "
AMST,234,1,5408,NA TRIBAL STUDIES,Lecture,3,Phillips,265,MWF,10:10 - 11:00,"Frey,Benjamin Elliott","HS, NA, US, , Research I"
AMST,235,1,9897,NATIVE AMERICA 20TH C,Lecture,3,Wilson,107,MW,10:10 - 11:00,"COBB,DANIEL M",
AMST,235,601,9898,NATIVE AMERICA 20TH C,Recitation,3,Carolina Hall,104,F,09:05 - 09:55,"Bauer,Frankie","HS, NA,  Combined Section ID: 1107(amst/hist235.601) - HIST 235(#9961)"
AMST,235,602,9899,NATIVE AMERICA 20TH C,Recitation,3,Gardner,106,F,10:10 - 11:00,"Bauer,Frankie","HS, NA,  Combined Section ID: 1108(amst/hist235.602) - HIST 235(#9962)"
AMST,235,603,9900,NATIVE AMERICA 20TH C,Recitation,3,Wilson,217,F,11:15 - 12:05,"McDonnell,Emily Kaitlin","HS, NA,  Combined Section ID: 1109(amst/hist235.603) - HIST 235(#9963)"
AMST,235,604,9901,NATIVE AMERICA 20TH C,Recitation,3,Phillips,212,F,12:20 - 13:10,"McDonnell,Emily Kaitlin","HS, NA,  Combined Section ID: 1110(amst/hist235.604) - HIST 235(#9964)"
AMST,253,1,13419,JEWISH WOMEN IN AMERICA,Lecture,3,Murphey,204,TuTh,09:30 - 10:45,"Hinderliter,Jillian Michele",
AMST,265,1,15727,THE BLACK INTERIOR,Lecture,3,Greenlaw,318,TuTh,11:00 - 12:15,"Randolph,Antonia Maria","LA, US, "
AMST,336,2,14033,NATIVE AMERICANS IN FILM,Lecture,3,Hanes Hall,112,W,15:35 - 18:35,"COBB,DANIEL M","GR1 VP, NA, US"
AMST,375,1,9907,SOUTHERN FOOD STUDIES,Lecture,3,Peabody,3050,TuTh,14:00 - 15:15,"Alexander,Kelly","SS, US, "
AMST,396,1,6093,INDEP STDY AMST,Lecture,3,TBA,TBA,TBA,TBA,"Randolph,Antonia Maria ",
AMST,396,2,10590,INDEP STDY AMST,Lecture,3,TBA,TBA,TBA,TBA,"Alexander,Kelly ",
AMST,396,3,10614,INDEP STDY AMST,Lecture,3,TBA,TBA,TBA,TBA,"HINSON,GLENN D ",
AMST,396,4,12434,INDEP STDY AMST,Lecture,3,TBA,TBA,TBA,TBA,"HOLLAND,SHARON PATRICIA ",
AMST,460H,1,14035,RISING WATERS,Lecture,3,Venable,G311,TuTh,11:00 - 12:15,"WILLIS,RACHEL",", SS, CI, EE, , "
AMST,692H,1,3546,AM STUDIES HONORS,Lecture,3,TBA,TBA,TBA,TBA,"Kotch,Seth M. ",
AMST,692H,2,3168,AM STUDIES HONORS,Lecture,3,TBA,TBA,TBA,TBA,"Alexander,Kelly ",
AMST,692H,3,3000,AM STUDIES HONORS,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,692H,4,2957,AM STUDIES HONORS,Lecture,3,TBA,TBA,TBA,TBA,Staff ,EE
AMST,692H,5,12369,AM STUDIES HONORS,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,701,1,4257,INTERDISC  RESEARCH,Lecture,3,Greenlaw,526B,M,15:35 - 18:35,"MARR,TIMOTHY W ",
AMST,795,1,6182,DIGITAL HUMANITIES FIELD EXP ,Lecture,3-Jan,TBA,TBA,TBA,TBA,"ANDERSON,DANIEL R ",
AMST,895,1,4425,DIRECTED READINGS,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,895,2,4444,DIRECTED READINGS,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,895,4,5323,DIRECTED READINGS,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,900,1,4882,DIRECTED STUDIES,Lecture,0.5 - 15,TBA,TBA,TBA,TBA,"Randolph,Antonia Maria ",
AMST,900,2,12072,DIRECTED STUDIES,Lecture,0.5 - 15,TBA,TBA,TBA,TBA,Staff ,
AMST,900,3,12112,DIRECTED STUDIES,Lecture,0.5 - 15,,TBA,TBA,TBA,,
AMST,902,1,9906,PH.D. RESEARCH SEMINAR,Lecture,3,Greenlaw,526A,M,15:35 - 18:35,"COBB,DANIEL M ",
AMST,992,1,4307,MASTER'S (NON-THESIS),Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,992,2,5648,MASTER'S (NON-THESIS),Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,993,1,10665,MASTER'S RESEARCH AND THESIS ,Lecture,3,,TBA,TBA,TBA,,
AMST,993,3,11980,MASTER'S RESEARCH AND THESIS ,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,994,1,4308,DOCT RESEARCH AND DISSERTATION,Lecture,3,TBA,TBA,TBA,TBA,"HOLLAND,SHARON PATRICIA ",
AMST,994,2,4309,DOCT RESEARCH AND DISSERTATION,Lecture,3,TBA,TBA,TBA,TBA,"COBB,DANIEL M ",
AMST,994,3,4310,DOCT RESEARCH AND DISSERTATION,Lecture,3,,TBA,TBA,TBA,,
AMST,994,5,4312,DOCT RESEARCH AND DISSERTATION,Lecture,3,TBA,TBA,TBA,TBA,"ROBINSON,MIRIAM MICHELLE ",
AMST,994,6,4313,DOCT RESEARCH AND DISSERTATION,Lecture,3,TBA,TBA,TBA,TBA,"Berlinger,Gabrielle Anna ",
AMST,994,7,4314,DOCT RESEARCH AND DISSERTATION,Lecture,3,TBA,TBA,TBA,TBA,"HINSON,GLENN D ",
AMST,994,8,5723,DOCT RESEARCH AND DISSERTATION,Lecture,3,,TBA,TBA,TBA,,
AMST,994,9,15619,DOCT RESEARCH AND DISSERTATION,Lecture,3,TBA,TBA,TBA,TBA,"Engelhardt,Elizabeth Sanders",
CHER,102,1,5937,CHEROKEE LANGUAGE II,Lecture,3,Greenlaw,301,MWF,11:15 - 12:05,"Frey,Benjamin Elliott ",
FOLK,202,1,14048,EVERYDAY CULTURES,Lecture,3,Murphey,116,MW,11:15 - 12:05,"SAWIN,PATRICIA E ","SS, US,  Combined Section ID: 1339(engl/anth/folk202.001) - ENGL 202(#14041), ANTH 202(#14056)"
FOLK,202,601,14049,EVERYDAY CULTURES,Recitation,3,Tate Turner Kuralt ,114,Th,09:30 - 10:20,"George,Grace Spencer","SS, US,  Combined Section ID: 1340(engl/anth/folk202.601) - ENGL 202(#14042), ANTH 202(#14057)"
FOLK,202,602,14050,EVERYDAY CULTURES,Recitation,3,Tate Turner Kuralt ,114,Th,11:00 - 11:50,"George,Grace Spencer","SS, US,  Combined Section ID: 1341(engl/anth/folk202.602) - ENGL 202(#14043), ANTH 202(#14058)"
FOLK,202,603,14051,EVERYDAY CULTURES,Recitation,3,Phillips,220,F,09:05 - 09:55,"Green,Ari Annise","SS, US,  Combined Section ID: 1342(engl/anth/folk202.603) - ENGL 202(#14044), ANTH 202(#14059)"
FOLK,375,1,9908,SOUTHERN FOOD STUDIES,Lecture,3,Peabody,3050,TuTh,14:00 - 15:15,"Alexander,Kelly","SS, US,  Combined Section ID: 1099(amst/folk375.001) - AMST 375(#9907)"
FOLK,424,1,5951,"RITUAL, FESTIVAL & PUBLIC CULT",Lecture,3,Murphey,204,MW,11:15 - 12:30,"Berlinger,Gabrielle Anna","Collaborative Online International Learning - COIL, SS, EE, IDEA - Ethical an"
FOLK,470,1,5557,MEDICINE & ANTHRO,Lecture,3,Global Center,1005,MWF,10:10 - 11:00,"KING,MARTHA E",SS
FOLK,470,602,13536,MEDICINE & ANTHRO,Recitation,3,Alumni,308,M,11:15 - 12:05,"Mackessy,Julia Ann ",SS
FOLK,470,603,13537,MEDICINE & ANTHRO,Recitation,3,Alumni,308,M,12:20 - 13:10,"Mackessy,Julia Ann ",SS
FOLK,481,1,14066,JEWISH MATERIAL CULTURE,Lecture,3,Greenlaw,301,M,14:30 - 17:30,"Berlinger,Gabrielle Anna","VP, EE, US, IDEA-Creative Expression, Practic"
FOLK,860,1,14040,ART OF ETHNOGRAPHY,Lecture,3,Greenlaw,103,TuTh,14:00 - 15:15,"HINSON,GLENN D ",
FOLK,895,1,4842,DIRECTED READINGS,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
FOLK,993,1,3500,MASTER'S RESEARCH AND THESIS ,Lecture,3,TBA,TBA,TBA,TBA,"SAWIN,PATRICIA E ",
FOLK,993,2,2881,MASTER'S RESEARCH AND THESIS ,Lecture,3,TBA,TBA,TBA,TBA,"HINSON,GLENN D ",
FOLK,993,3,2880,MASTER'S RESEARCH AND THESIS ,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
FOLK,993,4,1843,MASTER'S RESEARCH AND THESIS ,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
FOLK,993,5,3966,MASTER'S RESEARCH AND THESIS ,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
ANTH,70,1,12989,RACE AND RECKONING IN NC,Lecture,3,Genome Sciences Buil,1374,TuTh,11:00 - 12:15,"HINSON,GLENN D ",
ANTH,101,600,1872,GEN ANTHROPOLOGY,Recitation,3,Alumni,203,Tu,08:00 - 08:50,"Prout,Caroline Anne","GR1 SS, GL, "
ANTH,101,601,2057,GEN ANTHROPOLOGY,Recitation,3,Dey Hall,204,Tu,09:30 - 10:20,"Prout,Caroline Anne","GR1 SS, GL, "
ANTH,101,602,2058,GEN ANTHROPOLOGY,Recitation,3,Alumni,308,Tu,15:30 - 16:20,"Prout,Caroline Anne","GR1 SS, GL, "
ANTH,101,604,2062,GEN ANTHROPOLOGY,Recitation,3,Murphey,302,Tu,15:30 - 16:20,"Rojas Jr,Alfredo Jose","GR1 SS, GL, "
ANTH,101,608,10/22/1915,GEN ANTHROPOLOGY,Recitation,3,Murphey,220,Th,12:30 - 13:20,"Rojas Jr,Alfredo Jose","GR1 SS, GL, "
ANTH,102,1,5409,CULTURAL ANTH,Lecture,3,Phillips,335,MWF,13:25 - 14:15,"LAMBERT,VALERIE L ",
ANTH,102,603,13351,CULTURAL ANTH,Recitation,3,Alumni,203,M,14:30 - 15:20,"Betti,Colleen","GR1 SS, BN, "
ANTH,102,612,13360,CULTURAL ANTH,Recitation,3,Dey Hall,412,F,10:10 - 11:00,"Betti,Colleen","GR1 SS, BN, "
ANTH,121,1,13271,ANCIENT CITIES: AMERICAS,Lecture,3,Phillips,265,MWF,14:30 - 15:20,"Smit,Douglas Karel","HS, BN, WB, "
ANTH,142,601,13361,LOC CULTURES GLOB FORCES,Recitation,3,Alumni,205,Tu,08:00 - 08:50,"Taylor,Sean Patrick","SS, BN, GL,  Class Equivalents: ANTH 142/142H"
ANTH,142,602,13362,LOC CULTURES GLOB FORCES,Recitation,3,Alumni,308,Th,11:00 - 11:50,"Jeranko,Maja","SS, BN, GL,  Class Equivalents: ANTH 142/142H"
ANTH,142,603,13363,LOC CULTURES GLOB FORCES,Recitation,3,Alumni,205,Th,12:30 - 13:20,"Jeranko,Maja","SS, BN, GL,  Class Equivalents: ANTH 142/142H"
ANTH,142,604,13364,LOC CULTURES GLOB FORCES,Recitation,3,Alumni,308,Th,14:00 - 14:50,"Jeranko,Maja","SS, BN, GL,  Class Equivalents: ANTH 142/142H"
ANTH,142,605,13365,LOC CULTURES GLOB FORCES,Recitation,3,Alumni,205,Tu,17:00 - 17:50,"Taylor,Sean Patrick","SS, BN, GL,  Class Equivalents: ANTH 142/142H"
ANTH,142,606,13366,LOC CULTURES GLOB FORCES,Recitation,3,Alumni,205,Th,17:00 - 17:50,"Taylor,Sean Patrick","SS, BN, GL,  Class Equivalents: ANTH 142/142H"
ANTH,143,1,1877,HUMAN EVOL & ADAPT,Lecture,3,Fetzer Hall,109,MW,15:35 - 16:50,"Hilton,Charles Edward ",
ANTH,143,600,2073,HUMAN EVOL & ADAPT,Recitation,3,Alumni,404,W,08:00 - 08:50,"Stalter,Lindsey Michelle ",
ANTH,143,601,2074,HUMAN EVOL & ADAPT,Recitation,3,Alumni,308,W,09:05 - 09:55,"Stalter,Lindsey Michelle ",
ANTH,143,602,2075,HUMAN EVOL & ADAPT,Recitation,3,Alumni,404,W,17:45 - 18:35,"Goraya,Supreet Kaur ",
ANTH,143,603,2076,HUMAN EVOL & ADAPT,Recitation,3,Alumni,308,W,11:15 - 12:05,"Stalter,Lindsey Michelle",GR1 PL
ANTH,143,604,2077,HUMAN EVOL & ADAPT,Recitation,3,Alumni,404,W,12:20 - 13:10,"Goraya,Supreet Kaur",GR1 PL
ANTH,143,605,2078,HUMAN EVOL & ADAPT,Recitation,3,Alumni,404,W,13:25 - 14:15,"Goraya,Supreet Kaur",PL
ANTH,147,601,9718,COMP HEALING SYSTEM,Recitation,3,Hanes Art Center ,116,F,08:00 - 08:50,"Mersmann,Joy Regina ","SS, GL, "
ANTH,147,602,9719,COMP HEALING SYSTEM,Recitation,3,Alumni,205,F,09:05 - 09:55,"Mersmann,Joy Regina","SS, GL, "
ANTH,147,603,9720,COMP HEALING SYSTEM,Recitation,3,Alumni,203,F,10:10 - 11:00,"Mersmann,Joy Regina","SS, GL, "
ANTH,147,604,9721,COMP HEALING SYSTEM,Recitation,3,Alumni,203,F,11:15 - 12:05,"King,Joel David","SS, GL, "
ANTH,147,605,9722,COMP HEALING SYSTEM,Recitation,3,Alumni,205,F,14:30 - 15:20,"King,Joel David","SS, GL, "
ANTH,147,606,9723,COMP HEALING SYSTEM,Recitation,3,Alumni,205,F,13:25 - 14:15,"King,Joel David","SS, GL, "
ANTH,147,607,9724,COMP HEALING SYSTEM,Recitation,3,Alumni,203,W,13:25 - 14:15,"Kassebaum,Theo McLeod","SS, GL, "
ANTH,147,608,9725,COMP HEALING SYSTEM,Recitation,3,Alumni,203,W,14:30 - 15:20,"Kassebaum,Theo McLeod","SS, GL, "
ANTH,147,609,9726,COMP HEALING SYSTEM,Recitation,3,Dey Hall,412,W,15:35 - 16:25,"Kassebaum,Theo McLeod","SS, GL, "
ANTH,147,610,15702,COMP HEALING SYSTEM,Recitation,3,Alumni,203,W,09:05 - 09:55,"Colclasure,Cayla Briann","SS, GL, "
ANTH,147,612,15706,COMP HEALING SYSTEM,Recitation,3,Alumni,203,W,11:15 - 12:05,"Colclasure,Cayla Briann","SS, GL, "
ANTH,151,602,13344,FOOD AND CULTURE,Recitation,3,Alumni,308,M,09:05 - 09:55,"Onyeka,Augusta Obianuju","HS, "
ANTH,151,603,13345,FOOD AND CULTURE,Recitation,3,Alumni,203,M,10:10 - 11:00,"Onyeka,Augusta Obianuju","HS, "
ANTH,151,604,13346,FOOD AND CULTURE,Recitation,3,Alumni,203,M,11:15 - 12:05,"Onyeka,Augusta Obianuju","HS, "
ANTH,151,605,13347,FOOD AND CULTURE,Recitation,3,Hanes Art Center ,118,M,12:20 - 13:10,"Henson,Devin Andrew","HS, "
ANTH,151,606,13348,FOOD AND CULTURE,Recitation,3,Alumni,308,M,13:25 - 14:15,"Henson,Devin Andrew","HS, "
ANTH,202,1,14056,EVERYDAY CULTURES,Lecture,3,Murphey,116,MW,11:15 - 12:05,"SAWIN,PATRICIA E","SS, US,  Combined Section ID: 1339(engl/anth/folk202.001) - ENGL 202(#14041), FOLK 202(#14048)"
ANTH,202,602,14058,EVERYDAY CULTURES,Recitation,3,Tate Turner Kuralt ,114,Th,11:00 - 11:50,"George,Grace Spencer ","SS, US,  Combined Section ID: 1341(engl/anth/folk202.602) - ENGL 202(#14043), FOLK 202(#14050)"
ANTH,202,603,14059,EVERYDAY CULTURES,Recitation,3,Phillips,220,F,09:05 - 09:55,"Green,Ari Annise ","SS, US,  Combined Section ID: 1342(engl/anth/folk202.603) - ENGL 202(#14044), FOLK 202(#14051)"
ANTH,202,604,14060,EVERYDAY CULTURES,Recitation,3,Gardner,307,F,10:10 - 11:00,"Green,Ari Annise ","SS, US,  Combined Section ID: 1343(engl/anth/folk202.604) - ENGL 202(#14045), FOLK 202(#14052)"
ANTH,206,1,12990,AMERICAN INDIAN SOCIETIES,Lecture,3,Alumni,205,MWF,12:20 - 13:10,"LAMBERT,VALERIE L ",
ANTH,231,1,12992,INCA AND THEIR ANCESTORS,Lecture,3,Manning,209,MWF,13:25 - 14:15,"BILLMAN,BRIAN R ","HS, BN, WB, "
ANTH,234,1,5588,NA TRIBAL STUDIES,Lecture,3,Phillips,265,MWF,10:10 - 11:00,"Frey,Benjamin Elliott ","HS, NA, US, "
ANTH,237,1,4602,"FOOD, ENVIRON & SUSTAINABILITY",Lecture,3,Alumni,205,TuTh,11:00 - 12:15,"O'Parks,Caela Brighid Casey",
ANTH,252,1,5641,ARCHAEOLOGY OF FOOD,Lecture,3,New West,219,MWF,13:25 - 14:15,"Briggs,Rachel Virginia ","HS, WB, "
ANTH,270,601,13331,LIVING MEDICINE,Recitation,3,Alumni,308,Tu,08:00 - 08:55,"Clingenpeel,Kaitlyn Anneliese","GR1 SS, "
ANTH,270,602,13332,LIVING MEDICINE,Recitation,3,Alumni,203,Tu,09:30 - 10:20,"Clingenpeel,Kaitlyn Anneliese","GR1 SS, "
ANTH,270,604,13334,LIVING MEDICINE,Recitation,3,Tate Turner Kuralt ,114,Th,14:00 - 14:50,"Schwandt,Zoe","GR1 SS, "
ANTH,270,605,13335,LIVING MEDICINE,Recitation,3,Alumni,308,Th,15:30 - 16:20,"Schwandt,Zoe","GR1 SS, "
