Cleaned Semester Data,,,,,,,,,,,,
,,,,,,,,,,,,
Subject,Catalog Nbr,Section,Class Nbr,Course Title,Component,Units,Bldg,Room,Days,Time,Instructor,Attributes
AAAD,491,1,14063,"CLASS, RACE, INEQUAL IN AMER ",Lecture,3,Murphey,314,TuTh,08:00 - 09:15,"JANKEN,KENNETH R ","SS- Social and Behavioral Science, US- U.S. Diversity, IDEA - Engagement with the Human Past, IDEA - Power, Difference, and Inequality"
AAAD,692H,1,10314,HONORS RESEARCH II,Lecture,3,TBA,TBA,TBA,TBA,"Clegg,Claude Andrew ",
LGLA,402,1,2281,ELEM LINGALA II,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
SWAH,402,1,2282,ELEM KISWAHILI II,Lecture,3,Cobb Hall,24,MWF,09:05 - 09:55," Birya,Raphael Kalu","GR1 Collaborative Online International Learning - COIL, FL- Foreign Language"
SWAH,402,2,3924,ELEM KISWAHILI II,Lecture,3,Genome Sciences Buil,24,,,"Mwamzandi,Mohamed Yusuf ",
YORU,402,1,12034,ELEMENTARY YORUBA II,Lecture,3,Dey Hall,405,MWF,12:20 - 13:10,,GR1 FL- Foreign Language
AERO,102,1,1610,HERITAGE AND VALUES OF USAF ,Lecture,1,Naval ROTC Armory ,405,,,,
AERO,202,1,2458,LEADERSHIP FUNDAMENTALS II,Lecture,1,Naval ROTC Armory ,405,,," Young,Iliana Ester",
AERO,302,1,11198,LDRSHP & EFFECTIVE COMM II,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AERO,500,401,1611,LEADERSHIP LAB,Lab,0,Naval ROTC Armory ,TBA,,," Spinks,Matthew Allan",
AMST,51,1,14011,FYS NAVIGATING AMERICA,Lecture,3,Murray Hall,G205,TuTh,14:00 - 15:15,"WILLIS,RACHEL ","SS- Social and Behavioral Science, CI- Communication Intensive, E4- Field Work, IDEA - FY - First Year Seminar, Research Intensive"
AMST,54,1,13006,FYS INDIANS' NEW WORLDS,Lecture,3,Alumni,205,TuTh,15:30 - 16:45,"SCARRY,Clara Margaret ",
AMST,65,1,15722,NC BLACK FEMINISMS,Lecture,3,Greenlaw,318,TuTh,12:30 - 13:45,"Randolph,Antonia Maria ","IDEA-Creative Expression, Practice, and Production, IDEA - Power, Difference, and Inequality, IDEA - FY - First Year Seminar"
AMST,75,1,15723,FOOD & THE MEDIA,Lecture,3,Greenlaw,317,TuTh,09:30 - 10:45," Alexander,Kelly","IDEA-Creative Expression, Practice, and Production, IDEA - Power, Difference, and Inequality, IDEA - FY - First Year Seminar"
AMST,102,601,14499,MYTH AND HISTORY IN AM. MEMORY,Recitation,3,Alumni,207,F,09:05 - 09:55,"Hutchinson,Brittany Monique ","HS- Historical Analysis, NA- North Atlantic World, US- U.S. Diversity, IDEA - Ways of Knowing, IDEA - Engagement with the Human Past"
AMST,102,602,14500,MYTH AND HISTORY IN AM. MEMORY,Recitation,3,Dey Hall,304,F,10:10 - 11:00," Hutchinson,Brittany Monique","HS- Historical Analysis, NA- North Atlantic World, US- U.S. Diversity, IDEA - Ways of Knowing, IDEA - Engagement with the Human Past"
AMST,102,603,14501,MYTH AND HISTORY IN AM. MEMORY,Recitation,3,Dey Hall,403,F,10:10 - 11:00," O'Connell,Joseph","HS- Historical Analysis, NA- North Atlantic World, US- U.S. Diversity, IDEA - Ways of Knowing, IDEA - Engagement with the Human Past"
AMST,102,604,14502,MYTH AND HISTORY IN AM. MEMORY,Recitation,3,Murray Hall,G205,F,11:15 - 12:05,"O'Connell,Joseph",
AMST,203,1,14029,APPR AMER INDIAN STUDIES,Lecture,3,Dey Hall,203,TuTh,11:00 - 12:15," Carmi,Marissa Lauren","HS- Historical Analysis, NA- North Atlantic World, US- U.S. Diversity, IDEA - Ways of Knowing, IDEA - Power, Difference, and Inequality"
AMST,234,1,5408,NA TRIBAL STUDIES,Lecture,3,Phillips,265,MWF,10:10 - 11:00," Frey,Benjamin Elliott","HS- Historical Analysis, NA- North Atlantic World, US- U.S. Diversity, IDEA - Ways of Knowing, IDEA - Engagement with the Human Past, Research I"
AMST,235,1,9897,NATIVE AMERICA 20TH C,Lecture,3,Wilson,107,MW,10:10 - 11:00," COBB,DANIEL M",
AMST,235,601,9898,NATIVE AMERICA 20TH C,Recitation,3,Carolina Hall,104,F,09:05 - 09:55," Bauer,Frankie","HS- Historical Analysis, NA- North Atlantic World, IDEA - Engagement with the Human Past, IDEA - Power, Difference, and Inequality Combined Section ID: 1107(amst/hist235.601) - HIST 235(#9961)"
AMST,235,602,9899,NATIVE AMERICA 20TH C,Recitation,3,Gardner,106,F,10:10 - 11:00," Bauer,Frankie","HS- Historical Analysis, NA- North Atlantic World, IDEA - Engagement with the Human Past, IDEA - Power, Difference, and Inequality Combined Section ID: 1108(amst/hist235.602) - HIST 235(#9962)"
